calle;calleClean;fiabilidad;gender;wikipedia
Calle La Joaquina;La Joaquina;2;Female;
Calle Angélica;Angélica;2;Female;
Calle Higinia;Higinia;2;Female;
Calle Breña Mora;Breña Mora;2;Female;
Calle Las Mercedes;Las Mercedes;2;Female;
Calle Rosalinda;Rosalinda;2;Female;
Radial Santa Ana;Radial Santa Ana;2;Female;
Calle La Paula;La Paula;2;Female;
Calle Maria Isabel;Maria Isabel;2;Female;
Calle De Los Canasteros Rosa Montero;De Los Canasteros Rosa Montero;2;Female;
La matilde;La matilde;2;Female;
Avenida La Aurora;La Aurora;2;Female;
Calle Estéfana;Estéfana;2;Female;
Calle Rosemary Karpinski;Rosemary Karpinski;2;Female;
Calle Santa Rosa;Santa Rosa;2;Female;
Residential Danza del Sol Oeste;Residential Danza del Sol Oeste;2;Female;
Vistas de Monserrat;Vistas de Monserrat;2;Female;
Santa Rita;Santa Rita;2;Female;https://es.wikipedia.org/wiki/Ita_(santa)
Calle Santa Eduviges;Santa Eduviges;2;Female;
Puente Yolanda Oreamuno;Yolanda Oreamuno;2;Female;
Plaza America;America;2;Female;
Avenida Sierra Madre;Sierra Madre;2;Female;
Calle La Julieta;La Julieta;2;Female;
Calle Delfina;Delfina;2;Female;
Oficentro La Virgen;Oficentro La Virgen;2;Female;
Calle Isabel Argüello;Isabel Argüello;2;Female;
Calle Vica León;Vica León;2;Female;
Calle Don Ricardo;Don Ricardo;-2;Male;
Calle San José;San José;-2;Male;
Puente Rincón de Ricardo;Puente  Ricardo;-2;Male;
Calle San Martín;San Martín;-2;Male;
Calle Pedro León;Pedro León;-2;Male;
Calle Don Pedro;Don Pedro;-2;Male;
Calle Alfonso;Alfonso;-2;Male;
Calle Cristo Rey;Cristo Rey;-2;Male;
Calle Salomón Hernández;Salomón Hernández;-2;Male;
Puente San Miguel;San Miguel;-2;Male;
Avenida Central - Juan Manuel López del Corral;Central - Juan Manuel López Corral;-2;Male;
Calle Fabio Molina;Fabio Molina;-2;Male;
Calle Joaquín Arias;Joaquín Arias;-2;Male;
Puente Francisco J. Orlich;Francisco J. Orlich;-2;Male;
Calle San Roque;San Roque;-2;Male;
Calle Urbanización Benjamin;Urbanización Benjamin;-2;Male;
Calle Marcos Víquez;Marcos Víquez;-2;Male;
Calle José Muñoz;José Muñoz;-2;Male;
Calle Wilson Víquez;Wilson Víquez;-2;Male;
Calle Vidal;Vidal;-2;Male;
Hacienda San Agustín;San Agustín;-2;Male;
Avenida Cristobal;Cristobal;-2;Male;
Calle Don Tito;Don Tito;-2;Male;
Calle Juan XXIII;Juan XXIII;-2;Male;
Avenida Víctor Méndez;Víctor Méndez;-2;Male;
Calzada Gastón Michelli;Gastón Michelli;-2;Male;
Avenida Ricardo Orfila;Ricardo Orfila;-2;Male;
Calle San Miguel;San Miguel;-2;Male;
Calle San Francisco;San Francisco;-2;Male;
Puente Juan Pablo II;Juan Pablo II;-2;Male;
Boulevard Ernesto Rohrmoser;Ernesto Rohrmoser;-2;Male;
Rotonda de San Sebastián;San Sebastián;-2;Male;
Calle Marcial Segura;Marcial Segura;-2;Male;
Calle Marín;Marín;-2;Male;
Calle Marcial Aguiluz;Marcial Aguiluz;-2;Male;
Calle Ross;Ross;-2;Male;
Puente Alfredo González Flores;Alfredo González Flores;-2;Male;
Calle León Cortés;León Cortés;-2;Male;
Calle Noé Marín;Noé Marín;-2;Male;
Calle Jesús León;Jesús León;-2;Male;
Calle Francisco Corrales;Francisco Corrales;-2;Male;
